Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
457-12-0244,C,Port Harcourt,Member,Female,Sports and travel,12679.19035257862,5.98290272699427,3803.754207939847,79878.96924847501,3/14/2019,13:49,Epay,76075.22086522526,4.761584545160703,3803.7466009268032,6.496364888819979
148-82-2527,C,Port Harcourt,Member,Female,Home and lifestyle,4363.188319214563,9.992145782647519,2181.608071339342,45813.60574066594,3/5/2019,13:44,Card,43632.01538453952,4.763231633487976,2181.587485437118,8.421209256703783
362-58-8315,C,Port Harcourt,Normal,Male,Fashion accessories,27547.197508313366,4.995450937833212,6886.810465611183,144622.80956770427,3/25/2019,10:23,Cash,137735.98388631496,4.761417356037983,6886.811552676199,9.899357106244853
834-25-9262,C,Port Harcourt,Normal,Female,Fashion accessories,29404.80107105371,4.013894208291438,5880.957917429879,123500.1586829849,1/6/2019,12:12,Cash,117619.18015088003,4.750538124152576,5880.9496235772285,9.1195964200269
824-88-3614,C,Port Harcourt,Normal,Male,Health and beauty,12351.608221612983,7.998553700058275,4940.642647627194,103753.44826946578,1/25/2019,15:00,Epay,98812.79427586998,4.747166409821767,4940.64678470612,5.711890533440156
130-98-8941,C,Port Harcourt,Normal,Male,Fashion accessories,23133.601363964168,7.01100159609844,8096.770596730299,170031.9588730424,2/9/2019,10:00,Cash,161935.186909287,4.770986219728339,8096.774767289284,5.713151402346451
263-10-3913,C,Port Harcourt,Member,Male,Fashion accessories,17654.410586943028,9.017984027515832,7944.479297556413,166834.08820006315,1/9/2019,14:20,Card,158889.61329964767,4.759862410475735,7944.484653974626,8.604622493180676
189-98-2939,C,Port Harcourt,Normal,Male,Fashion accessories,28278.005894438676,8.995130413310758,12725.11121101247,267227.10077837796,3/1/2019,13:22,Cash,254502.00415978997,4.75732764105501,12725.106675542007,7.20037257462352
201-63-8275,C,Port Harcourt,Member,Female,Sports and travel,24476.401217950806,7.0082293601617485,8566.735528354948,179901.5198816996,2/17/2019,16:50,Epay,171334.77894003413,4.760892577603622,8566.751123616916,5.704115054771749
554-42-2417,C,Port Harcourt,Normal,Female,Sports and travel,34358.42358180139,9.995045719832108,17179.206875205342,360763.21859456785,1/9/2019,13:45,Cash,343583.98464801465,4.75201363105321,17179.198705309267,5.195310362435054
266-20-6657,C,Port Harcourt,Member,Male,Food and beverages,19814.414728359203,6.992249921173497,6935.027293711508,145635.830941175,3/12/2019,19:39,Epay,138700.78811536523,4.757921585574303,6935.026439546986,5.186106190120457
201-63-8275,C,Port Harcourt,Member,Female,Sports and travel,24476.4074897057,7.016926227716177,8566.752951162653,179901.54169303086,2/17/2019,16:50,Epay,171334.79969154584,4.757940110553184,8566.746351682707,5.68338483103534
393-65-2792,C,Port Harcourt,Normal,Male,Food and beverages,32212.795784316353,9.989504603786617,16106.401093359054,338234.3987714505,1/6/2019,12:46,Card,322127.9876107029,4.755727299801249,16106.381215091646,9.603556803182702
434-83-9547,C,Port Harcourt,Member,Male,Food and beverages,13849.195302902117,7.99287906694425,5539.6879472268765,116333.27870562239,1/23/2019,11:51,Cash,110793.59898734,4.750874065914698,5539.679759649598,7.713877989698165
583-72-1480,C,Port Harcourt,Member,Male,Electronic accessories,13341.59838484086,4.016842350834235,2668.321251985008,56034.71088994354,1/31/2019,16:24,Epay,53366.39797938956,4.781637213023151,2668.319129327289,9.687088007879467
